"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"943a1fbb-73a1-486a-a191-82384f09afdb","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",5,"2015-06-16T09:02Z",1,"BRD.BART.2015.1",1,"Y","BRCR","Certhia americana","species","Brown Creeper","Certhiidae","N",53,"singing","No","Male",1,"","JRUEB",NA
"46572fbe-e130-47a9-b3bb-9db8cdaf3b82","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",8,"2015-06-16T09:20Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",38,"singing","No","Male",1,"","JRUEB",NA
"f6fc017b-9aea-4ff9-a53a-9699f670e47f","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",8,"2015-06-16T09:20Z",1,"BRD.BART.2015.1",2,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",24,"singing","No","Male",1,"","JRUEB",NA
"87a7ca3e-e246-4e3a-bcf9-53dbbdc924a3","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",8,"2015-06-16T09:20Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",49,"singing","No","Male",1,"","JRUEB",NA
"a9cb374d-82a1-40f8-9f58-9e8f8df2db4e","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",8,"2015-06-16T09:20Z",1,"BRD.BART.2015.1",2,"Y","RBNU","Sitta canadensis","species","Red-breasted Nuthatch","Sittidae","N",21,"calling","No","Unknown",1,"","JRUEB",NA
"735a8837-4d66-49bc-a328-a55d121bf2ec","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",53,"singing","No","Male",1,"","JRUEB",NA
"b9c1ac7c-6df9-4062-89d0-5d636ddfe2a7","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",26,"singing","No","Male",1,"","JRUEB",NA
"636f9f3e-697f-4032-9f64-8d051767c82b","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",3,"Y","YRWA","Setophaga coronata","species","Yellow-rumped Warbler","Parulidae","N",24,"singing","No","Male",1,"","JRUEB",NA
"f2c075e0-67c1-4ec8-a8a0-eaccd96aef79","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",2,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",65,"singing","No","Male",1,"","JRUEB",NA
"bb26cd3c-23a3-4f6b-af6f-1e74c3fb64a8","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",7,"2015-06-16T09:33Z",1,"BRD.BART.2015.1",3,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler","Parulidae","N",21,"singing","No","Male",1,"","JRUEB",NA
